idx,name
001,Бульбазавр
002,Айвизавр
003,Венузавр
004,Чармандер
005,Чармелеон
006,Чаризард
007,Сквиртл
008,Вартортл
009,Бластойз
010,Катерпи
011,Метапод
012,Баттерфри
013,Видл
014,Какуна
015,Бидрилл
016,Пиджи
017,Пиджеотто
018,Пиджеот
019,Раттата
020,Ратикейт
021,Спироу
022,Фироу
023,Эканс
024,Арбок
025,Пикачу
026,Райчу
027,Сэндшрю
028,Сэндслэш
029,Нидоран♀
030,Нидорина
031,Нидоквин
032,Нидоран♂
033,Нидорино
034,Нидокинг
035,Клефэйри
036,Клефейбл
037,Валпикс
038,Найнтэйлс
039,Джигглипафф
040,Вигглитафф
041,Зубат
042,Голбат
043,Оддиш
044,Глум
045,Вайлплюм
046,Парас
047,Парасект
048,Венонат
049,Веномот
050,Диглетт
051,Дагтрио
052,Мяут
053,Персиан
054,Псайдак
055,Голдак
056,Манки
057,Праймейп
058,Гроулит
059,Арканайн
060,Поливаг
061,Поливирл
062,Поливрат
063,Абра
064,Кадабра
065,Алаказам
066,Мачоп
067,Мачоук
068,Мачамп
069,Беллспраут
070,Випинбелл
071,Виктрибел
072,Тентакул
073,Тентакрул
074,Геодуд
075,Гравелер
076,Голем
077,Понита
078,Рапидаш
079,Слоупок
080,Слоубро
081,Магнемайт
082,Магнетон
083,Фарфетчд
084,Додуо
085,Додрио
086,Сил
087,Дьюгонг
088,Граймер
089,Мак
090,Шеллдер
091,Клойстер
092,Гастли
093,Хонтер
094,Генгар
095,Оникс
096,Драузи
097,Гипно
098,Крабби
099,Кинглер
100,Волторб
101,Электрод
102,Эксегкьют
103,Экзегкьютор
104,Кьюбон
105,Маровак
106,Хитмонли
107,Хитмончан
108,Ликитанг
109,Коффинг
110,Визинг
111,Райхорн
112,Райдон
113,Ченси
114,Тангела
115,Кангасхан
116,Хорси
117,Сидра
118,Голдин
119,Сикинг
120,Старью
121,Старми
122,Мистер Майм
123,Скайтер
124,Джинкс
125,Электабазз
126,Магмар
127,Пинсир
128,Таурос
129,Мэджикарп
130,Гиарадос
131,Лапрас
132,Дитто
133,Иви
134,Вапореон
135,Джолтеон
136,Флареон
137,Поригон
138,Оманайт
139,Омастар
140,Кабуто
141,Кабутопс
142,Аэродактиль
143,Снорлакс
144,Артикуно
145,Запдос
146,Молтрес
147,Дратини
148,Драгонэйр
149,Драгонайт
150,Мьюту
151,Мью
152,Чикорита
153,Бэйлиф
154,Меганиум
155,Синдаквил
156,Квилава
157,Тайфложн
158,Тотодайл
159,Кроконав
160,Фералигейтор
161,Сентрет
162,Фуррет
163,Хутхут
164,Ноктоул
165,Ледиба
166,Ледиан
167,Спинарак
168,Ариадос
169,Кробат
170,Чинчоу
171,Лантурн
172,Пичу
173,Клеффа
174,Игглибафф
175,Тогэпи
176,Тогэтик
177,Нату
178,Ксату
179,Марип
180,Флааффи
181,Амфарос
182,Беллосом
183,Мэрилл
184,Азумарилл
185,Судовуду
186,Политоед
187,Хоппип
188,Скиплум
189,Джамплафф
190,Эйпом
191,Санкерн
192,Санфлора
193,Янма
194,Вупер
195,Квагсайр
196,Эспеон
197,Амбреон
198,Муркроу
199,Слоукинг
200,Мисдривус
201,Аноун
202,Воббаффет
203,Жирафариг
204,Пайнеко
205,Форретресс
206,Данспарс
207,Глайгар
208,Стиликс
209,Снаббулл
210,Грэнбулл
211,Квилфиш
212,Сизор
213,Шакл
214,Геракросс
