idx,name
001,ฟุชิกิดาเนะ
002,ฟุชิกิโซ
003,ฟุชิกิบานะ
004,ฮิโตคาเงะ
005,ลิซาร์โดะ
006,ลิซาร์ดอน
007,เซนิกาเมะ
008,คาเมล
009,คาเม็กซ์
010,คาเตอร์ปี
011,ทรานเซล
012,บัตเตอร์ฟรี
013,บีเดิล
014,โคคูน
015,สเปียร์
016,ป็อปโปะ
017,พีเจียน
018,พีเจียต
019,โครัตตา
020,รัตตา
021,โอนิสึซึเมะ
022,โอนิดริล
023,อาร์โบ
024,อาร์บอก
025,พิคาชู
026,ไรชู
027,แซนด์
028,แซนด์แพน
029,นิโดรัน♀
030,นิโดรินา
031,นิโดควีน
032,นิโดรัน♂
033,นิโดริโน
034,นิโดคิง
035,ปิปปี
036,ปิคซี
037,โรคอน
038,คิวคอน
039,พูริน
040,พูคูริน
041,ซูแบท
042,โกลแบท
043,นาโซโนะคุสะ
044,คุไซฮานะ
045,รัฟเฟรเซีย
046,พารัส
047,พาราเซ็คท์
048,คองปัง
049,มอร์ฟอน
050,ดิกดา
051,ดักทริโอ
052,เนียส
053,เปอร์เซียน
054,โคดัก
055,โกลดัก
056,แมนคี
057,โอโคริซารุ
058,การ์ดี
059,วินดี
060,เนียวโรโมะ
061,เนียวโรโซ
062,เนียวโรบอน
063,เคซี
064,ยุนเกเรอร์
065,ฟูดิน
066,วันริกี
067,โกริกี
068,ไคริกี
069,มาดาซึโบมิ
070,อุซึดง
071,อุซึบ็อท
072,เมโนคุราเกะ
073,โดคุคุราเกะ
074,อิชิซึบูเตะ
075,โกโลน
076,โกโลเนีย
077,โพนีตะ
078,แกลล็อป
079,ยาดง
080,ยาโดรัน
081,คอยล์
082,แรคอยล์
083,คาโมเนกิ
084,โดโด
085,โดโดริโอ
086,พาเวา
087,จูกอน
088,เบ็ทเบเตอร์
089,เบ็ทเบตัน
090,เชลเดอร์
091,พาร์เชน
092,โกส
093,โกสท์
094,เก็งกา
095,อิวาร์ค
096,สลีป
097,สลีปเปอร์
098,แครบ
099,คิงเกลอร์
100,บิริริดามา
101,มารุมายน์
102,ทามะทามะ
103,นัชชี
104,คาระคาระ
105,การะการะ
106,ซาวามูลาร์
107,เอบิวาลาร์
108,เบโรรินกา
109,โดกาซ
110,มาตาโดกัซ
111,ไซฮอร์น
112,ไซดอน
113,ลัคกี
114,มอนจารา
115,การูรา
116,ทัททู
117,ซีดรา
118,โทซาคินโตะ
119,อซึมาโอ
120,ฮิโตเดมัน
121,สตาร์มี
122,บาร์เรียด
123,สไตรค์
124,รูจูลา
125,เอเลบู
126,บูเบอร์
127,ไคลอส
128,เคนเทารอส
129,คอยคิง
130,เกียราดอส
131,ลาพลาซ
132,เมตามอน
133,อีวุย
134,ชาวเวอร์ส
135,ธันเดอร์ส
136,บูสเตอร์
137,โพรีกอน
138,ออมไนต์
139,ออมสตาร์
140,คาบูโตะ
141,คาบูท็อปส์
142,พเทอรา
143,คาบิกอน
144,ฟรีเซอร์
145,ธันเดอร์
146,ไฟเยอร์
147,มินิริว
148,ฮาคุริว
149,ไคริว
150,มิวทู
151,มิว
152,จิโคริตา
153,เบย์ลีฟ
154,เมกาเนียม
155,ฮิโนอาราชิ
156,แม็กมาราชิ
157,แบ็กฟูน
158,วานิโนโกะ
159,อัลลิเกต
160,ออไดล์
161,โอทาจิ
162,โอโอทาจิ
163,โฮโฮ
164,โยรุโนะซึคุ
165,เรดิบา
166,เรเดียน
167,อิโตมารุ
168,อาริอาโดส
169,โครแบท
170,ชอนชี
171,แลนเทอร์น
172,พิชู
173,ปี
174,พูพูริน
175,โทเกปี
176,โทเกชิก
177,เนที
178,เนทิโอ
179,เมรีป
180,โมโคโค
181,เด็นริว
182,คิเรอิฮานะ
183,มาริล
184,มาริลลิ
185,อุซกกี
186,นิวโรโทโน
187,ฮาเน็กโกะ
188,โพพ็อกโกะ
189,วาทักโกะ
190,เอย์แพม
191,ฮิมานัทส์
192,คิมาวาริ
193,ยันยันมา
194,อูปา
195,นูโอ
196,เอฟี
197,แบล็กกี
198,ยามิคาราซึ
199,ยาโดคิง
200,มูมา
201,อันโนน
202,โซนานส์
203,คิรินริกิ
204,คุนุกิดามะ
205,ฟอเรทอส
206,โนก็อจจิ
207,ไกลกา
208,ฮากาเนล
209,บูล
210,แกรนบูล
211,ฮารีเซน
212,ฮัซซัม
213,ซึโบซึโบะ
